seat_id,event_id,section,row,seat_number,price
76,1,D,25,14,883.28
77,1,A,8,42,783.28
78,1,A,12,28,733.28
79,1,D,15,11,733.28
80,1,D,3,26,783.28
81,1,B,7,18,733.28
82,1,A,5,6,883.28
83,1,B,26,10,883.28
84,1,VIP,27,30,783.28
85,1,A,14,6,883.28
86,1,C,1,34,883.28
87,1,D,23,49,783.28
88,1,D,6,28,733.28
89,1,A,7,3,683.28
90,1,B,18,7,883.28
91,1,D,4,9,783.28
92,1,D,8,7,733.28
93,1,B,16,26,883.28
94,1,C,25,10,883.28
95,1,C,18,13,883.28
96,1,VIP,26,31,883.28
97,1,C,28,46,883.28
98,1,A,1,14,733.28
99,1,B,17,32,733.28
100,1,D,12,6,683.28
101,1,A,28,4,883.28
102,1,VIP,16,23,733.28
103,1,A,5,8,883.28
104,1,VIP,14,47,883.28
105,1,A,18,30,783.28
106,1,A,5,9,883.28
107,1,C,19,27,783.28
108,1,C,13,3,733.28
109,1,D,26,28,883.28
110,1,C,26,41,883.28
111,1,D,22,26,733.28
112,1,C,29,33,733.28
113,1,A,9,39,683.28
114,1,C,19,11,683.28
115,1,B,12,19,783.28
116,1,VIP,7,46,783.28
117,1,A,23,7,783.28
118,1,A,13,39,883.28
119,1,B,30,50,683.28
120,1,C,1,46,683.28
121,1,C,5,39,683.28
122,1,VIP,19,38,733.28
123,1,B,9,39,683.28
124,1,A,22,16,683.28
125,1,B,22,5,883.28
126,1,A,5,14,883.28
127,1,D,28,36,733.28
128,1,D,7,2,883.28
129,1,C,5,6,883.28
130,1,A,15,14,783.28
131,1,C,27,36,733.28
132,1,A,3,28,783.28
133,1,B,29,22,733.28
134,1,C,28,19,683.28
135,1,B,7,35,733.28
136,1,A,19,43,733.28
137,1,D,30,4,883.28
138,1,D,19,48,733.28
139,1,B,25,16,683.28
140,1,C,3,11,683.28
141,1,C,22,48,883.28
142,1,VIP,11,32,683.28
143,1,C,26,2,883.28
144,1,D,14,10,883.28
145,1,A,19,6,883.28
146,1,D,11,19,883.28
147,1,C,27,4,683.28
148,1,D,11,22,683.28
149,1,A,10,10,733.28
150,1,C,7,48,733.28
151,1,D,7,39,783.28
152,1,A,22,47,783.28
153,1,D,5,43,733.28
154,1,C,26,30,783.28
155,1,C,15,19,683.28
156,1,B,18,50,683.28
157,1,B,24,30,883.28
158,1,C,9,37,683.28
159,1,C,8,25,883.28
160,1,D,30,28,733.28
161,1,B,24,39,733.28
162,1,VIP,26,21,683.28
163,1,C,20,20,783.28
164,1,B,13,10,783.28
165,1,C,28,50,883.28
166,1,C,13,22,733.28
167,1,D,15,17,683.28
168,1,D,15,36,683.28
169,1,B,29,16,783.28
170,1,C,1,15,783.28
171,1,A,3,39,733.28
172,1,A,8,12,883.28
173,1,D,10,35,883.28
174,1,VIP,10,28,883.28
175,1,A,13,2,733.28
176,1,D,2,37,883.28
177,1,C,2,48,733.28
178,1,A,8,16,883.28
179,1,D,21,43,883.28
180,1,D,22,34,783.28
181,1,VIP,6,44,683.28
182,1,B,25,22,683.28
183,1,C,11,35,783.28
184,1,VIP,6,35,883.28
185,1,C,8,32,883.28
186,1,VIP,25,48,783.28
187,1,D,18,21,683.28
188,1,A,3,8,683.28
189,1,D,4,44,883.28
190,1,VIP,21,30,733.28
191,1,C,24,26,883.28
192,1,B,8,23,683.28
193,1,B,2,45,683.28
194,1,D,17,27,883.28
195,1,A,21,18,733.28
196,1,VIP,1,15,883.28
197,2,D,2,31,692.51
198,2,C,21,23,692.51
199,2,D,5,49,692.51
200,2,A,16,50,692.51
201,2,D,25,46,692.51
202,2,B,10,11,592.51
203,2,C,17,10,542.51
204,2,B,2,47,492.51
205,2,C,8,16,592.51
206,2,A,5,21,692.51
207,2,A,18,16,492.51
208,2,C,27,13,492.51
209,2,B,6,29,492.51
210,2,D,21,3,492.51
211,2,C,13,6,592.51
212,2,A,29,35,592.51
213,2,C,26,43,592.51
214,2,VIP,9,22,692.51
215,2,VIP,23,19,542.51
216,2,VIP,23,12,492.51
217,2,B,20,32,692.51
218,2,C,28,20,692.51
219,2,VIP,19,12,542.51
220,2,VIP,8,15,492.51
221,2,A,21,6,592.51
222,2,VIP,3,5,492.51
223,2,A,20,25,542.51
224,2,VIP,4,22,692.51
225,2,B,11,27,492.51
226,2,C,24,39,592.51
227,2,A,17,38,692.51
228,2,D,15,4,692.51
229,2,D,8,24,492.51
230,2,A,12,1,692.51
231,2,VIP,21,39,492.51
232,2,C,13,8,692.51
233,2,B,29,49,492.51
234,2,B,8,32,492.51
235,2,D,19,16,492.51
236,2,A,27,23,692.51
237,2,A,26,48,492.51
238,2,A,30,48,542.51
239,2,C,3,15,692.51
240,2,A,4,12,692.51
241,2,A,26,45,542.51
242,2,A,29,16,492.51
243,2,B,24,37,592.51
244,2,C,29,18,542.51
245,2,C,30,40,592.51
246,2,B,17,28,592.51
247,2,C,9,32,492.51
248,2,C,2,22,692.51
249,2,B,22,41,592.51
250,2,VIP,8,21,592.51
251,2,B,8,28,492.51
252,2,A,26,44,542.51
253,2,VIP,6,12,692.51
254,2,VIP,6,6,592.51
255,2,VIP,29,41,492.51
256,2,D,26,42,592.51
257,2,A,2,48,492.51
258,2,VIP,4,45,492.51
259,2,VIP,10,2,492.51
260,2,VIP,8,27,592.51
261,2,VIP,1,39,492.51
262,2,C,5,20,692.51
263,2,A,10,9,692.51
264,2,VIP,13,22,692.51
265,2,C,1,48,592.51
266,2,B,28,45,692.51
267,2,A,30,14,692.51
268,2,D,26,17,542.51
269,2,A,1,17,692.51
270,2,A,9,11,542.51
271,2,D,23,32,492.51
272,2,VIP,25,3,542.51
273,2,D,22,22,542.51
274,2,B,10,7,592.51
275,2,B,2,4,592.51
276,2,D,25,15,692.51
277,2,B,9,24,542.51
278,2,C,30,27,592.51
279,2,A,27,36,542.51
280,2,B,9,7,692.51
281,2,D,6,3,492.51
282,2,C,30,32,492.51
283,2,A,5,19,592.51
284,2,VIP,3,19,692.51
285,2,B,3,3,542.51
286,2,C,12,4,542.51
287,2,A,19,38,492.51
288,2,C,12,17,542.51
289,2,D,17,8,692.51
290,2,C,6,19,592.51
291,2,D,15,30,492.51
292,2,B,28,2,592.51
293,2,B,22,33,542.51
294,2,D,22,36,592.51
295,2,D,17,25,592.51
296,2,B,2,33,542.51
297,2,A,9,6,592.51
298,2,VIP,3,29,692.51
299,2,D,2,35,492.51
300,2,C,11,39,542.51
301,2,D,18,50,692.51
302,2,A,29,48,692.51
303,2,B,15,38,492.51
304,2,A,12,17,542.51
305,2,VIP,30,9,542.51
306,2,VIP,11,6,592.51
307,2,D,12,6,592.51
308,2,A,7,19,592.51
309,2,B,1,18,692.51
310,2,C,16,28,692.51
311,2,VIP,12,13,542.51
312,2,C,9,50,592.51
313,2,VIP,6,7,492.51
314,2,VIP,16,10,592.51
315,2,C,10,9,492.51
316,2,D,28,49,592.51
317,2,B,20,4,592.51
318,2,C,30,28,592.51
319,2,A,21,31,542.51
320,2,C,13,49,692.51
321,2,D,6,46,542.51
322,2,VIP,24,40,692.51
323,2,C,4,35,492.51
324,2,B,9,39,492.51
325,2,D,20,14,492.51
326,2,C,30,48,592.51
327,2,C,30,49,592.51
328,2,D,3,44,492.51
329,2,VIP,21,11,592.51
330,2,C,27,25,692.51
331,2,B,24,5,492.51
332,2,C,9,48,692.51
333,2,C,30,41,542.51
334,2,A,1,20,692.51
335,2,C,23,26,592.51
336,2,B,16,32,542.51
337,2,B,9,29,542.51
338,2,B,18,26,542.51
339,2,B,4,50,592.51
340,2,B,9,48,592.51
341,2,A,17,34,492.51
342,2,B,5,1,692.51
343,2,B,30,50,592.51
344,2,A,5,34,492.51
345,2,D,27,7,542.51
346,2,A,9,20,692.51
347,2,D,4,33,692.51
348,2,B,21,22,542.51
349,2,VIP,1,42,592.51
350,2,D,29,4,542.51
351,2,D,10,27,542.51
352,2,C,24,21,492.51
353,2,D,27,25,492.51
354,2,B,13,37,692.51
355,2,VIP,10,10,542.51
356,2,C,21,9,492.51
357,2,C,8,30,492.51
358,2,B,24,16,692.51
359,2,A,1,39,692.51
360,2,VIP,12,26,592.51
361,2,C,20,3,692.51
362,2,VIP,9,29,492.51
363,2,B,16,18,592.51
364,2,VIP,21,15,592.51
365,2,VIP,15,39,492.51
366,2,VIP,11,23,592.51
367,2,D,12,9,542.51
368,2,B,1,34,592.51
369,2,D,28,29,692.51
370,2,A,27,30,592.51
371,2,B,14,22,692.51
372,2,D,6,21,692.51
373,2,D,13,16,542.51
374,2,C,28,50,592.51
375,2,D,28,34,592.51
376,2,A,28,30,492.51
377,2,C,22,47,592.51
378,2,C,4,39,592.51
379,2,B,6,24,492.51
380,2,C,23,36,692.51
381,2,B,30,49,492.51
382,2,B,20,27,542.51
383,2,A,18,38,492.51
384,2,C,19,16,492.51
385,2,D,30,14,692.51
386,2,A,24,16,692.51
387,2,D,7,44,542.51
388,2,B,23,32,592.51
389,2,B,11,40,692.51
390,3,C,5,28,542.5899999999999
391,3,D,7,5,592.5899999999999
392,3,VIP,22,1,592.5899999999999
393,3,B,5,39,592.5899999999999
394,3,D,22,26,692.5899999999999
395,3,D,2,16,592.5899999999999
396,3,D,29,37,492.59
397,3,A,4,38,692.5899999999999
398,3,A,7,5,592.5899999999999
399,3,B,5,40,592.5899999999999
400,3,D,30,25,542.5899999999999
401,3,D,22,47,492.59
402,3,B,5,31,542.5899999999999
403,3,B,21,13,592.5899999999999
404,3,D,2,15,592.5899999999999
405,3,VIP,9,44,692.5899999999999
406,3,A,23,35,492.59
407,3,C,12,39,542.5899999999999
408,3,A,30,33,692.5899999999999
409,3,VIP,12,36,542.5899999999999
410,3,C,10,36,592.5899999999999
411,3,B,29,42,542.5899999999999
412,3,B,8,17,492.59
413,3,VIP,8,44,592.5899999999999
414,3,D,26,9,542.5899999999999
415,3,D,9,24,592.5899999999999
416,3,C,14,40,542.5899999999999
417,3,A,10,43,592.5899999999999
418,3,C,13,2,592.5899999999999
419,3,VIP,9,2,542.5899999999999
420,3,D,22,20,492.59
421,3,C,5,20,492.59
422,3,VIP,10,49,592.5899999999999
423,3,B,3,49,692.5899999999999
424,3,VIP,2,49,692.5899999999999
425,3,C,13,31,542.5899999999999
426,3,VIP,25,3,542.5899999999999
427,3,VIP,26,1,542.5899999999999
428,3,C,28,28,492.59
429,3,C,17,29,692.5899999999999
430,3,A,20,33,492.59
431,3,B,14,9,592.5899999999999
432,3,C,20,3,592.5899999999999
433,3,C,25,38,542.5899999999999
434,3,VIP,9,30,542.5899999999999
435,3,A,28,19,592.5899999999999
436,3,A,28,48,542.5899999999999
437,3,D,9,44,592.5899999999999
438,3,D,7,47,542.5899999999999
439,3,A,8,4,692.5899999999999
440,3,VIP,6,32,592.5899999999999
441,3,B,21,38,542.5899999999999
442,3,B,20,15,692.5899999999999
443,3,D,10,20,542.5899999999999
444,3,C,16,44,692.5899999999999
445,3,VIP,16,14,492.59
446,3,VIP,25,3,692.5899999999999
447,3,B,7,8,692.5899999999999
448,3,A,16,41,692.5899999999999
449,3,D,19,1,692.5899999999999
450,3,D,13,9,492.59
451,3,D,3,3,692.5899999999999
452,3,A,26,15,542.5899999999999
453,3,D,10,29,492.59
454,3,B,27,29,692.5899999999999
455,3,C,1,27,492.59
456,3,C,24,29,592.5899999999999
457,3,A,12,40,692.5899999999999
458,3,A,17,8,692.5899999999999
459,3,B,26,41,492.59
460,3,D,4,47,492.59
461,3,B,2,47,692.5899999999999
462,3,C,23,28,692.5899999999999
463,3,B,9,47,492.59
464,3,B,6,45,592.5899999999999
465,3,B,16,47,692.5899999999999
466,3,B,4,20,592.5899999999999
467,3,B,25,25,592.5899999999999
468,3,VIP,3,21,492.59
469,3,A,21,3,492.59
470,3,C,1,13,692.5899999999999
471,3,B,6,7,492.59
472,3,A,30,13,692.5899999999999
473,3,D,17,44,692.5899999999999
474,3,A,11,11,692.5899999999999
475,3,A,24,2,592.5899999999999
476,3,D,21,11,542.5899999999999
477,3,VIP,21,30,692.5899999999999
478,3,D,28,32,542.5899999999999
479,3,A,4,4,592.5899999999999
480,3,A,21,44,542.5899999999999
481,3,D,1,9,692.5899999999999
482,3,D,26,48,692.5899999999999
483,3,A,9,12,492.59
484,3,VIP,22,32,492.59
485,3,D,26,3,492.59
486,3,VIP,9,1,592.5899999999999
487,3,B,27,26,492.59
488,3,B,15,10,692.5899999999999
489,3,D,4,15,692.5899999999999
490,3,A,15,41,592.5899999999999
491,3,D,12,50,692.5899999999999
492,3,C,12,40,592.5899999999999
493,3,B,29,17,492.59
494,3,D,17,10,592.5899999999999
495,3,B,20,22,542.5899999999999
496,3,A,19,45,692.5899999999999
497,3,C,19,30,492.59
498,3,A,29,18,592.5899999999999
499,3,B,30,50,692.5899999999999
500,3,A,11,45,592.5899999999999
501,3,B,24,25,542.5899999999999
502,3,VIP,10,33,592.5899999999999
503,3,C,30,25,492.59
504,3,B,23,20,692.5899999999999
505,3,C,28,48,592.5899999999999
506,3,A,29,2,492.59
507,3,VIP,16,47,592.5899999999999
508,3,C,18,1,542.5899999999999
509,3,VIP,17,31,692.5899999999999
510,3,A,8,6,492.59
511,3,A,17,38,492.59
512,3,B,26,22,542.5899999999999
513,3,B,1,6,542.5899999999999
514,3,D,15,11,692.5899999999999
515,3,A,18,46,542.5899999999999
516,3,B,11,7,542.5899999999999
517,3,B,16,12,492.59
518,3,A,1,46,492.59
519,3,C,13,47,592.5899999999999
520,3,B,28,12,692.5899999999999
521,3,VIP,29,18,692.5899999999999
522,3,D,12,42,592.5899999999999
523,3,B,18,48,492.59
524,3,D,21,43,542.5899999999999
525,3,B,5,30,592.5899999999999
526,3,D,24,40,692.5899999999999
527,3,A,24,12,492.59
528,3,C,21,15,542.5899999999999
529,3,C,23,28,492.59
530,3,C,16,46,592.5899999999999
531,3,B,22,9,592.5899999999999
532,3,A,6,11,492.59
533,3,D,20,16,492.59
534,3,B,28,23,542.5899999999999
535,3,D,20,26,542.5899999999999
536,3,VIP,11,8,692.5899999999999
537,3,A,27,2,542.5899999999999
538,3,A,26,13,592.5899999999999
539,3,VIP,17,23,542.5899999999999
540,3,VIP,12,45,492.59
541,3,A,4,39,692.5899999999999
542,3,B,12,40,492.59
543,3,B,21,2,492.59
544,3,B,2,26,542.5899999999999
545,3,VIP,24,29,592.5899999999999
546,3,D,26,43,542.5899999999999
547,3,C,8,22,692.5899999999999
548,3,A,15,28,692.5899999999999
549,3,VIP,24,46,592.5899999999999
550,3,VIP,30,12,592.5899999999999
551,3,VIP,18,31,692.5899999999999
552,3,A,23,48,692.5899999999999
553,3,B,11,39,542.5899999999999
554,3,D,23,15,692.5899999999999
555,3,D,9,24,492.59
556,3,C,11,7,692.5899999999999
557,3,B,20,27,692.5899999999999
558,3,C,30,41,492.59
559,3,VIP,29,28,592.5899999999999
560,3,C,7,27,592.5899999999999
561,3,VIP,6,45,592.5899999999999
562,3,D,15,28,492.59
563,3,VIP,3,12,592.5899999999999
564,3,D,25,33,592.5899999999999
565,3,D,3,38,592.5899999999999
566,3,B,18,47,542.5899999999999
567,3,A,13,40,592.5899999999999
568,3,A,29,31,492.59
569,3,D,19,45,592.5899999999999
570,3,B,27,42,542.5899999999999
571,3,A,7,19,542.5899999999999
572,3,VIP,1,28,592.5899999999999
573,3,D,25,37,692.5899999999999
574,3,B,17,22,492.59
575,3,C,3,24,692.5899999999999
576,3,VIP,30,48,542.5899999999999
577,3,VIP,30,49,692.5899999999999
578,3,B,13,18,692.5899999999999
579,3,VIP,8,45,692.5899999999999
580,3,B,2,3,692.5899999999999
581,4,C,22,43,2652.9
582,4,D,16,13,2702.9
583,4,C,7,47,2702.9
584,4,A,25,37,2602.9
585,4,VIP,1,9,2602.9
586,4,C,26,37,2702.9
587,4,B,9,1,2652.9
588,4,VIP,24,18,2602.9
589,4,VIP,22,39,2652.9
590,4,D,11,6,2702.9
591,4,VIP,20,16,2702.9
592,4,D,6,22,2702.9
593,4,B,9,50,2802.9
594,4,C,1,7,2602.9
595,4,VIP,20,36,2602.9
596,4,B,13,12,2652.9
597,4,A,25,36,2702.9
598,4,B,14,18,2802.9
599,4,VIP,22,24,2702.9
600,4,D,26,14,2802.9
601,4,B,30,41,2802.9
602,4,B,29,34,2702.9
603,4,B,22,27,2602.9
604,4,B,7,22,2602.9
605,4,D,6,31,2702.9
606,4,VIP,23,1,2652.9
607,4,B,5,28,2802.9
608,4,B,16,35,2802.9
609,4,C,7,18,2602.9
610,4,D,1,12,2602.9
611,4,D,8,37,2802.9
612,4,B,28,37,2702.9
613,4,A,18,29,2602.9
614,4,B,10,17,2602.9
615,4,A,3,32,2652.9
616,4,C,6,38,2802.9
617,4,C,10,8,2802.9
618,4,C,12,6,2702.9
619,4,A,10,20,2802.9
620,4,VIP,1,45,2702.9
621,4,VIP,14,7,2802.9
622,4,C,3,21,2802.9
623,4,B,28,19,2652.9
624,4,B,27,31,2602.9
625,4,C,5,21,2652.9
626,4,D,22,15,2802.9
627,4,A,4,43,2702.9
628,4,D,22,49,2652.9
629,4,B,12,8,2802.9
630,4,D,29,39,2602.9
631,4,C,15,39,2702.9
632,4,C,22,48,2702.9
633,4,C,4,34,2652.9
634,4,A,21,19,2652.9
635,4,VIP,29,21,2702.9
636,4,VIP,14,41,2652.9
637,4,C,13,21,2652.9
638,4,C,5,29,2652.9
639,4,C,11,28,2802.9
640,4,B,19,27,2602.9
641,4,A,20,29,2702.9
642,4,B,7,34,2802.9
643,4,C,2,50,2802.9
644,4,D,27,23,2702.9
645,4,A,16,44,2652.9
646,4,D,22,10,2802.9
647,4,C,20,38,2802.9
648,4,VIP,30,6,2602.9
649,4,VIP,25,19,2702.9
650,4,VIP,5,29,2652.9
651,5,VIP,9,49,3029.29
652,5,B,22,48,3029.29
653,5,VIP,21,33,3029.29
654,5,C,28,24,3029.29
655,5,C,12,2,2979.29
656,5,VIP,9,4,3029.29
657,5,D,30,16,3029.29
658,5,D,1,8,2979.29
659,5,VIP,21,2,3129.29
660,5,C,7,9,3029.29
661,5,C,3,24,2929.29
662,5,D,17,50,3129.29
663,5,D,13,44,3029.29
664,5,VIP,27,37,2979.29
665,5,C,10,17,2979.29
666,5,D,17,40,3129.29
667,5,A,12,40,3029.29
668,5,VIP,21,50,2979.29
669,5,A,10,40,3129.29
670,5,D,3,1,2979.29
671,5,VIP,29,45,2929.29
672,5,A,27,24,3129.29
673,5,B,25,41,3029.29
674,5,A,19,17,3029.29
675,5,A,22,19,2929.29
676,5,B,5,36,2929.29
677,5,A,10,4,3129.29
678,5,D,5,27,3129.29
679,5,D,15,6,3129.29
680,5,VIP,21,3,2929.29
681,5,VIP,6,46,3029.29
682,5,A,20,6,2929.29
683,5,B,14,44,2929.29
684,5,A,27,15,2929.29
685,5,C,25,22,3029.29
686,5,C,13,28,2979.29
687,5,A,9,32,3129.29
688,5,D,13,29,3129.29
689,5,D,10,46,3029.29
690,5,B,16,3,2979.29
691,5,A,17,1,3129.29
692,5,C,22,27,3129.29
693,5,C,1,29,3029.29
694,5,C,22,31,3029.29
695,5,VIP,10,22,3129.29
696,5,VIP,24,9,2979.29
697,5,A,8,24,3129.29
698,5,VIP,21,8,3029.29
699,5,B,9,40,3029.29
700,5,VIP,8,33,3029.29
701,5,A,15,9,2929.29
702,5,A,14,5,3129.29
703,5,D,2,9,2929.29
704,5,A,11,5,2979.29
705,5,C,1,14,3029.29
706,5,D,23,13,2979.29
707,5,VIP,1,17,2929.29
708,5,VIP,26,4,2979.29
709,5,C,9,14,2929.29
710,5,VIP,1,11,3129.29
711,5,VIP,3,6,2929.29
712,5,A,6,27,2929.29
713,5,D,19,5,3029.29
714,5,A,1,10,3129.29
715,5,B,13,32,3129.29
716,5,C,26,35,3129.29
717,5,VIP,27,33,3029.29
718,5,A,4,11,3129.29
719,5,B,21,32,2979.29
720,5,B,8,37,2979.29
721,5,C,10,12,3129.29
722,5,B,6,44,3129.29
723,5,C,23,7,2929.29
724,5,C,1,24,2979.29
725,5,C,25,25,2929.29
726,5,B,5,41,3129.29
727,5,VIP,19,34,3029.29
728,5,D,26,4,3129.29
729,5,B,17,4,3029.29
730,5,VIP,27,40,2979.29
731,5,A,18,23,3129.29
732,5,B,28,33,2929.29
733,5,B,10,24,2979.29
734,5,C,24,32,3029.29
735,5,C,3,33,2929.29
736,5,VIP,24,10,2979.29
737,5,VIP,17,6,3029.29
738,5,D,30,30,3129.29
739,5,D,13,30,2929.29
740,5,D,9,7,2929.29
741,5,D,8,48,2929.29
742,5,VIP,25,23,3129.29
743,5,A,24,15,3129.29
744,5,B,27,8,3129.29
745,5,C,2,46,3029.29
746,5,C,12,4,3029.29
747,5,D,4,19,3029.29
748,5,A,19,33,2929.29
749,5,D,21,34,3129.29
750,5,VIP,29,21,2929.29
751,5,C,4,13,3029.29
752,5,D,18,47,2929.29
753,5,C,15,19,3029.29
754,5,C,7,18,2929.29
755,5,A,8,14,3129.29
756,5,VIP,29,4,2929.29
757,5,C,17,19,3029.29
758,5,D,27,44,2929.29
759,5,B,30,38,2929.29
760,5,A,25,19,3129.29
761,5,B,26,4,3129.29
762,5,VIP,6,43,2929.29
763,5,B,4,10,3129.29
764,5,D,3,41,3029.29
765,5,A,12,44,2979.29
766,5,D,13,10,2929.29
767,5,A,9,4,3029.29
768,5,C,26,21,2929.29
769,5,D,16,14,2979.29
770,5,B,2,50,3129.29
771,5,VIP,18,31,2929.29
772,5,VIP,19,9,3129.29
773,5,A,5,19,2979.29
774,5,D,17,5,2979.29
775,5,A,18,49,2929.29
776,5,D,2,44,3129.29
777,5,C,5,21,3129.29
778,5,C,16,18,2979.29
779,5,D,25,7,3129.29
780,5,VIP,27,44,3029.29
781,5,VIP,9,22,3129.29
782,5,VIP,21,16,2979.29
783,5,D,6,48,2979.29
784,5,A,22,38,2979.29
785,5,D,18,17,3029.29
786,5,A,29,31,2979.29
787,5,B,14,14,2979.29
788,5,B,15,37,2979.29
789,5,A,6,37,2929.29
790,5,D,8,46,3029.29
791,5,A,1,24,2929.29
792,5,A,2,11,2979.29
793,5,B,26,13,3029.29
794,5,B,10,17,2979.29
795,5,C,22,7,3029.29
796,5,A,27,26,2979.29
797,5,VIP,14,38,3129.29
798,5,A,9,5,2979.29
799,5,D,4,6,2979.29
800,5,B,20,45,2979.29
801,5,B,25,35,3029.29
802,5,VIP,30,43,2979.29
803,5,B,15,33,3129.29
804,5,B,9,25,2929.29
805,5,D,2,47,3129.29
806,5,A,4,37,3029.29
807,5,D,24,15,2979.29
808,5,VIP,21,25,3129.29
809,5,B,20,15,3029.29
810,6,B,5,37,1951.75
811,6,VIP,17,48,2101.75
812,6,A,30,41,2001.75
813,6,C,16,45,1901.75
814,6,VIP,25,10,1951.75
815,6,B,11,19,2001.75
816,6,B,3,10,2001.75
817,6,A,21,37,1951.75
818,6,B,18,37,1951.75
819,6,C,3,34,1901.75
820,6,A,20,5,1951.75
821,6,D,2,7,2101.75
822,6,VIP,7,31,1901.75
823,6,B,9,26,2001.75
824,6,VIP,15,15,2101.75
825,6,D,8,2,1951.75
826,6,D,5,42,1901.75
827,6,D,2,11,1951.75
828,6,C,20,41,1901.75
829,6,C,30,48,1901.75
830,6,VIP,4,23,2001.75
831,6,VIP,4,7,2101.75
832,6,VIP,27,13,1901.75
833,6,A,8,12,2001.75
834,6,D,26,11,2001.75
835,6,C,29,14,2001.75
836,6,C,12,17,2101.75
837,6,D,3,15,2101.75
838,6,C,9,41,2001.75
839,6,D,9,6,1951.75
840,6,D,16,43,2101.75
841,6,C,26,33,2101.75
842,6,B,14,11,2001.75
843,6,VIP,28,42,1901.75
844,6,D,2,17,2101.75
845,6,C,3,37,1901.75
846,6,D,16,1,2001.75
847,6,D,28,38,2001.75
848,6,B,3,29,2001.75
849,6,C,11,27,2001.75
850,6,A,16,38,2101.75
851,6,D,16,48,1951.75
852,6,A,21,47,2101.75
853,6,VIP,15,7,1901.75
854,6,D,2,24,2001.75
855,6,A,2,3,1951.75
856,6,B,19,40,2101.75
857,6,C,24,22,1901.75
858,6,B,13,26,1951.75
859,6,VIP,12,25,2001.75
860,6,C,16,33,2101.75
861,6,A,22,40,1951.75
862,6,B,27,45,2101.75
863,6,D,10,29,1951.75
864,6,VIP,20,5,1901.75
865,6,D,13,4,2101.75
866,6,VIP,27,23,1901.75
867,6,C,23,30,2101.75
868,6,B,30,17,2001.75
869,6,B,25,40,2001.75
870,6,A,10,38,2101.75
871,6,B,30,41,2101.75
872,6,D,13,27,1901.75
873,6,C,17,26,1901.75
874,6,A,8,2,2101.75
875,6,A,23,42,2101.75
876,6,B,11,47,1901.75
877,6,C,28,15,2001.75
878,6,VIP,24,32,2001.75
879,6,D,30,38,1951.75
880,6,D,10,21,1951.75
881,6,D,3,15,2101.75
882,6,A,6,34,2101.75
883,6,B,27,18,2101.75
884,6,A,28,28,2101.75
885,6,D,21,38,2001.75
886,6,D,9,50,1901.75
887,6,C,1,23,2101.75
888,6,VIP,28,6,1951.75
889,6,VIP,22,16,2101.75
890,6,VIP,4,29,1951.75
891,6,D,28,26,2001.75
892,6,D,13,47,2001.75
893,6,VIP,19,47,1951.75
894,6,D,15,50,2101.75
895,6,D,13,21,2001.75
896,6,D,29,50,1901.75
897,6,C,26,11,2001.75
898,6,VIP,5,37,2101.75
899,6,B,2,48,1901.75
900,6,VIP,14,22,2101.75
901,6,VIP,25,31,1901.75
902,6,B,25,38,1951.75
903,6,B,11,45,1901.75
904,6,A,12,23,2001.75
905,6,D,23,48,2101.75
906,6,C,17,13,2101.75
907,6,C,20,22,2001.75
908,6,A,25,9,1901.75
